OASIS Ids,period 1,period 2,period 3,period 4,period 5,period 6,period 7,period 8,period 9,period 10,period 11,period 12
gloucest4-153941,EARLY MEDIEVAL,ROMAN,,,,,,,,,,
gloucest4-166678,LATER PREHISTORIC,MEDIEVAL,ROMAN,,,,,,,,,
gloucest4-174391,LATE IRON AGE,MIDDLE IRON AGE,ROMAN,,,,,,,,,
gloucest4-185321,BRONZE AGE,MEDIEVAL,ROMAN,,,,,,,,,
gloucest4-32766,no period,,,,,,,,,,,
gloucest4-33033,no period,,,,,,,,,,,
gloucest4-50538,no period,,,,,,,,,,,
gloucest4-52096,no period,,,,,,,,,,,
gloucest4-56149,no period,,,,,,,,,,,
gloucest4-56179,no period,,,,,,,,,,,
gloucest4-60803,no period,,,,,,,,,,,
gloucest4-70257,no period,,,,,,,,,,,
gloucest4-76613,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
gloucest5-239776,EARLY MEDIEVAL,MEDIEVAL,,,,,,,,,,
golderas1-214274,20TH CENTURY,ROMAN,,,,,,,,,,
golderas1-214931,20TH CENTURY,ROMAN,,,,,,,,,,
golderas1-214939,20TH CENTURY,,,,,,,,,,,
greatbow1-296448,LATE IRON AGE,LATER PREHISTORIC,MEDIEVAL,POST MEDIEVAL,ROMAN,,,,,,,
greatbow1-296459,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
greatbow1-299501,EARLY MEDIEVAL,MEDIEVAL,POST MEDIEVAL,,,,,,,,,
greatbow1-300821,LATER PREHISTORIC,MEDIEVAL,POST MEDIEVAL,ROMAN,,,,,,,,
greatbow1-300826,EARLY MEDIEVAL,LATE IRON AGE,LATER PREHISTORIC,MEDIEVAL,POST MEDIEVAL,ROMAN,,,,,,
greatbow1-300831,LATER PREHISTORIC,MEDIEVAL,POST MEDIEVAL,,,,,,,,,
greatbow1-300832,ROMAN,,,,,,,,,,,
greatbow1-300833,ROMAN,,,,,,,,,,,
greatbow1-300834,MEDIEVAL,ROMAN,,,,,,,,,,
greatbow1-300842,IRON AGE,ROMAN,,,,,,,,,,
greatbow1-300843,MEDIEVAL,POST MEDIEVAL,ROMAN,,,,,,,,,
greatbow1-302298,EARLY PREHISTORIC,LATER PREHISTORIC,LOWER PALAEOLITHIC,MEDIEVAL,MESOLITHIC,POST MEDIEVAL,ROMAN,,,,,
greatbow1-302306,LATER PREHISTORIC,MESOLITHIC,POST MEDIEVAL,ROMAN,,,,,,,,
greatbow1-302312,IRON AGE,MEDIEVAL,NEOLITHIC,POST MEDIEVAL,,,,,,,,
greatbow1-302315,MEDIEVAL,NEOLITHIC,POST MEDIEVAL,ROMAN,,,,,,,,
greatbow1-304908,EARLY BRONZE AGE,EARLY MEDIEVAL,LATER PREHISTORIC,MEDIEVAL,POST MEDIEVAL,ROMAN,,,,,,
greatbow1-304947,MEDIEVAL,,,,,,,,,,,
greenlan1-101579,POST MEDIEVAL,,,,,,,,,,,
greenlan1-101593,POST MEDIEVAL,,,,,,,,,,,
greenlan1-101707,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
greenlan1-101710,MEDIEVAL,,,,,,,,,,,
greenlan1-101715,20TH CENTURY,,,,,,,,,,,
greenlan1-101720,POST MEDIEVAL,,,,,,,,,,,
greenlan1-101734,POST MEDIEVAL,ROMAN,,,,,,,,,,
greenlan1-101740,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
greenlan1-101750,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
greenlan1-102365,POST MEDIEVAL,,,,,,,,,,,
greenlan1-102369,POST MEDIEVAL,,,,,,,,,,,
greenlan1-102406,POST MEDIEVAL,,,,,,,,,,,
greenlan1-102465,POST MEDIEVAL,,,,,,,,,,,
greenlan1-102470,POST MEDIEVAL,,,,,,,,,,,
greenlan1-102478,no period,,,,,,,,,,,
greenlan1-102484,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
greenlan1-102486,POST MEDIEVAL,,,,,,,,,,,
greenlan1-102673,POST MEDIEVAL,,,,,,,,,,,
greenlan1-102675,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
greenlan1-102681,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
greenlan1-111317,POST MEDIEVAL,,,,,,,,,,,
greenlan1-111323,POST MEDIEVAL,,,,,,,,,,,
greenlan1-111334,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
greenlan1-111339,POST MEDIEVAL,,,,,,,,,,,
greenlan1-111345,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
greenlan1-111347,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
greenlan1-111349,POST MEDIEVAL,,,,,,,,,,,
greenlan1-111353,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
greenlan1-12808,POST MEDIEVAL,,,,,,,,,,,
greenlan1-12859,POST MEDIEVAL,,,,,,,,,,,
greenlan1-13233,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
greenlan1-133008,ROMAN,,,,,,,,,,,
greenlan1-133031,POST MEDIEVAL,ROMAN,,,,,,,,,,
greenlan1-133034,POST MEDIEVAL,,,,,,,,,,,
greenlan1-133038,POST MEDIEVAL,,,,,,,,,,,
greenlan1-133039,20TH CENTURY,LATER PREHISTORIC,POST MEDIEVAL,,,,,,,,,
greenlan1-133070,POST MEDIEVAL,,,,,,,,,,,
greenlan1-133072,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
greenlan1-133077,no period,,,,,,,,,,,
greenlan1-133109,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
greenlan1-133114,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
greenlan1-133115,POST MEDIEVAL,,,,,,,,,,,
greenlan1-133117,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
greenlan1-133118,20TH CENTURY,,,,,,,,,,,
greenlan1-133123,EARLY MEDIEVAL,,,,,,,,,,,
greenlan1-133133,POST MEDIEVAL,,,,,,,,,,,
greenlan1-133214,POST MEDIEVAL,,,,,,,,,,,
greenlan1-133225,MEDIEVAL,,,,,,,,,,,
greenlan1-133232,POST MEDIEVAL,,,,,,,,,,,
greenlan1-133259,POST MEDIEVAL,,,,,,,,,,,
greenlan1-133298,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
greenlan1-133304,POST MEDIEVAL,,,,,,,,,,,
greenlan1-133310,EARLY MEDIEVAL,,,,,,,,,,,
greenlan1-133676,POST MEDIEVAL,,,,,,,,,,,
greenlan1-156919,POST MEDIEVAL,,,,,,,,,,,
greenlan1-156921,no period,,,,,,,,,,,
greenlan1-156934,POST MEDIEVAL,,,,,,,,,,,
greenlan1-156951,POST MEDIEVAL,,,,,,,,,,,
greenlan1-156952,POST MEDIEVAL,,,,,,,,,,,
greenlan1-156954,POST MEDIEVAL,,,,,,,,,,,
greenlan1-156955,POST MEDIEVAL,,,,,,,,,,,
greenlan1-156957,20TH CENTURY,,,,,,,,,,,
greenlan1-156960,POST MEDIEVAL,,,,,,,,,,,
greenlan1-156965,POST MEDIEVAL,,,,,,,,,,,
greenlan1-156972,POST MEDIEVAL,,,,,,,,,,,
greenlan1-157151,20TH CENTURY,,,,,,,,,,,
greenlan1-157177,POST MEDIEVAL,,,,,,,,,,,
greenlan1-157220,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
greenlan1-157316,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
greenlan1-159326,POST MEDIEVAL,,,,,,,,,,,
greenlan1-170026,POST MEDIEVAL,,,,,,,,,,,
greenlan1-170033,POST MEDIEVAL,,,,,,,,,,,
greenlan1-170040,POST MEDIEVAL,,,,,,,,,,,
greenlan1-170046,POST MEDIEVAL,,,,,,,,,,,
greenlan1-170049,POST MEDIEVAL,,,,,,,,,,,
greenlan1-170071,POST MEDIEVAL,,,,,,,,,,,
greenlan1-170073,POST MEDIEVAL,,,,,,,,,,,
greenlan1-170084,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
greenlan1-170092,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
greenlan1-180765,ROMAN,,,,,,,,,,,
greenlan1-180893,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
greenlan1-180954,BRONZE AGE,POST MEDIEVAL,,,,,,,,,,
greenlan1-183750,20TH CENTURY,POST MEDIEVAL,UNCERTAIN,,,,,,,,,
greenlan1-183770,20TH CENTURY,MEDIEVAL,,,,,,,,,,
greenlan1-188861,POST MEDIEVAL,,,,,,,,,,,
greenlan1-188874,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
greenlan1-193558,20TH CENTURY,,,,,,,,,,,
greenlan1-19908,POST MEDIEVAL,,,,,,,,,,,
greenlan1-220940,POST MEDIEVAL,,,,,,,,,,,
greenlan1-220952,POST MEDIEVAL,,,,,,,,,,,
greenlan1-220971,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
greenlan1-220974,POST MEDIEVAL,,,,,,,,,,,
greenlan1-220982,NEOLITHIC,POST MEDIEVAL,,,,,,,,,,
greenlan1-22228,POST MEDIEVAL,,,,,,,,,,,
greenlan1-22285,ROMAN,,,,,,,,,,,
greenlan1-22380,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
greenlan1-22387,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
greenlan1-22394,POST MEDIEVAL,,,,,,,,,,,
greenlan1-22396,MEDIEVAL,POST MEDIEVAL,UNCERTAIN,,,,,,,,,
greenlan1-22441,POST MEDIEVAL,,,,,,,,,,,
greenlan1-22468,POST MEDIEVAL,,,,,,,,,,,
greenlan1-22487,POST MEDIEVAL,,,,,,,,,,,
greenlan1-242353,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
greenlan1-242357,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
greenlan1-242360,POST MEDIEVAL,,,,,,,,,,,
greenlan1-26675,POST MEDIEVAL,,,,,,,,,,,
greenlan1-26677,POST MEDIEVAL,,,,,,,,,,,
greenlan1-26684,POST MEDIEVAL,,,,,,,,,,,
greenlan1-28108,POST MEDIEVAL,,,,,,,,,,,
greenlan1-28113,POST MEDIEVAL,,,,,,,,,,,
greenlan1-28121,POST MEDIEVAL,,,,,,,,,,,
greenlan1-30911,POST MEDIEVAL,,,,,,,,,,,
greenlan1-30923,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
greenlan1-30928,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
greenlan1-30940,POST MEDIEVAL,,,,,,,,,,,
greenlan1-30946,no period,,,,,,,,,,,
greenlan1-30988,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
greenlan1-37458,POST MEDIEVAL,,,,,,,,,,,
greenlan1-37612,POST MEDIEVAL,,,,,,,,,,,
greenlan1-37622,POST MEDIEVAL,,,,,,,,,,,
greenlan1-37695,ROMAN,,,,,,,,,,,
greenlan1-37706,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
greenlan1-37721,POST MEDIEVAL,,,,,,,,,,,
greenlan1-37724,POST MEDIEVAL,,,,,,,,,,,
greenlan1-37745,POST MEDIEVAL,,,,,,,,,,,
greenlan1-37760,POST MEDIEVAL,,,,,,,,,,,
greenlan1-37774,POST MEDIEVAL,,,,,,,,,,,
greenlan1-40447,POST MEDIEVAL,,,,,,,,,,,
greenlan1-40453,20TH CENTURY,MEDIEVAL,POST MEDIEVAL,,,,,,,,,
greenlan1-40455,EARLY MEDIEVAL,MEDIEVAL,POST MEDIEVAL,,,,,,,,,
greenlan1-40456,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
greenlan1-40459,POST MEDIEVAL,,,,,,,,,,,
greenlan1-40468,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
greenlan1-40471,POST MEDIEVAL,,,,,,,,,,,
greenlan1-40474,no period,,,,,,,,,,,
greenlan1-40477,POST MEDIEVAL,,,,,,,,,,,
greenlan1-45360,POST MEDIEVAL,,,,,,,,,,,
greenlan1-45364,POST MEDIEVAL,,,,,,,,,,,
greenlan1-45367,POST MEDIEVAL,,,,,,,,,,,
greenlan1-45379,MEDIEVAL,,,,,,,,,,,
greenlan1-45387,POST MEDIEVAL,,,,,,,,,,,
greenlan1-45402,no period,,,,,,,,,,,
greenlan1-45414,POST MEDIEVAL,,,,,,,,,,,
greenlan1-48595,POST MEDIEVAL,,,,,,,,,,,
greenlan1-49994,POST MEDIEVAL,,,,,,,,,,,
greenlan1-50032,POST MEDIEVAL,,,,,,,,,,,
greenlan1-50139,POST MEDIEVAL,,,,,,,,,,,
greenlan1-50188,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
greenlan1-50235,POST MEDIEVAL,,,,,,,,,,,
greenlan1-50289,POST MEDIEVAL,,,,,,,,,,,
greenlan1-54491,20TH CENTURY,,,,,,,,,,,
greenlan1-54513,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
greenlan1-56072,POST MEDIEVAL,,,,,,,,,,,
greenlan1-57379,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
greenlan1-57397,POST MEDIEVAL,,,,,,,,,,,
greenlan1-57462,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
greenlan1-57469,MEDIEVAL,,,,,,,,,,,
greenlan1-57474,POST MEDIEVAL,,,,,,,,,,,
greenlan1-58045,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
greenlan1-61205,POST MEDIEVAL,,,,,,,,,,,
greenlan1-61209,MEDIEVAL,POST MEDIEVAL,ROMAN,,,,,,,,,
greenlan1-63850,MEDIEVAL,,,,,,,,,,,
greenlan1-63865,POST MEDIEVAL,,,,,,,,,,,
greenlan1-71074,POST MEDIEVAL,,,,,,,,,,,
greenlan1-71088,POST MEDIEVAL,,,,,,,,,,,
greenlan1-71098,POST MEDIEVAL,,,,,,,,,,,
greenlan1-71106,POST MEDIEVAL,,,,,,,,,,,
greenlan1-71122,POST MEDIEVAL,,,,,,,,,,,
greenlan1-71130,POST MEDIEVAL,,,,,,,,,,,
greenlan1-71134,POST MEDIEVAL,,,,,,,,,,,
greenlan1-71140,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
greenlan1-71178,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
greenlan1-71297,POST MEDIEVAL,,,,,,,,,,,
greenlan1-76114,no period,,,,,,,,,,,
greenlan1-76135,POST MEDIEVAL,,,,,,,,,,,
greenlan1-76139,no period,,,,,,,,,,,
greenlan1-76142,no period,,,,,,,,,,,
greenlan1-76143,POST MEDIEVAL,,,,,,,,,,,
greenlan1-76146,POST MEDIEVAL,,,,,,,,,,,
greenlan1-76149,POST MEDIEVAL,,,,,,,,,,,
greenlan1-76153,no period,,,,,,,,,,,
greenlan1-76156,no period,,,,,,,,,,,
groundwo1-208799,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
groundwo1-248404,MEDIEVAL,,,,,,,,,,,
gsbprosp1-14801,POST MEDIEVAL,,,,,,,,,,,
gsbprosp1-168100,no period,,,,,,,,,,,
gsbprosp1-171139,ROMAN,,,,,,,,,,,
gsbprosp1-184203,MEDIEVAL,,,,,,,,,,,
gsbprosp1-184213,no period,,,,,,,,,,,
gsbprosp1-184998,no period,,,,,,,,,,,
gsbprosp1-190022,no period,,,,,,,,,,,
gsbprosp1-200001,no period,,,,,,,,,,,
gsbprosp1-22576,MEDIEVAL,MESOLITHIC,POST MEDIEVAL,,,,,,,,,
gsbprosp1-22577,BRONZE AGE,,,,,,,,,,,
gsbprosp1-22590,ROMAN,,,,,,,,,,,
gsbprosp1-22601,IRON AGE,,,,,,,,,,,
gsbprosp1-22611,MEDIEVAL,,,,,,,,,,,
gsbprosp1-22626,MEDIEVAL,POST MEDIEVAL,ROMAN,,,,,,,,,
gsbprosp1-22642,LATER PREHISTORIC,,,,,,,,,,,
gsbprosp1-22648,no period,,,,,,,,,,,
gsbprosp1-22660,PALAEOLITHIC,,,,,,,,,,,
gsbprosp1-22674,ROMAN,,,,,,,,,,,
gsbprosp1-22684,ROMAN,UNCERTAIN,,,,,,,,,,
gsbprosp1-22690,MEDIEVAL,,,,,,,,,,,
gsbprosp1-227027,no period,,,,,,,,,,,
gsbprosp1-22711,MEDIEVAL,,,,,,,,,,,
gsbprosp1-22714,20TH CENTURY,,,,,,,,,,,
gsbprosp1-22715,POST MEDIEVAL,,,,,,,,,,,
gsbprosp1-22734,UPPER PALAEOLITHIC,,,,,,,,,,,
gsbprosp1-22741,MEDIEVAL,,,,,,,,,,,
gsbprosp1-22754,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
gsbprosp1-22762,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
gsbprosp1-22766,ROMAN,,,,,,,,,,,
gsbprosp1-22767,ROMAN,,,,,,,,,,,
gsbprosp1-22769,NEOLITHIC,ROMAN,,,,,,,,,,
gsbprosp1-22772,MEDIEVAL,UNCERTAIN,,,,,,,,,,
gsbprosp1-22776,MEDIEVAL,,,,,,,,,,,
gsbprosp1-22777,ROMAN,,,,,,,,,,,
gsbprosp1-22815,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
gsbprosp1-22829,POST MEDIEVAL,ROMAN,,,,,,,,,,
gsbprosp1-22832,MEDIEVAL,,,,,,,,,,,
gsbprosp1-22834,MEDIEVAL,,,,,,,,,,,
gsbprosp1-22839,ROMAN,,,,,,,,,,,
gsbprosp1-22842,EARLY MEDIEVAL,,,,,,,,,,,
gsbprosp1-22845,MEDIEVAL,,,,,,,,,,,
gsbprosp1-22850,ROMAN,,,,,,,,,,,
gsbprosp1-22851,MEDIEVAL,,,,,,,,,,,
gsbprosp1-22852,POST MEDIEVAL,,,,,,,,,,,
gsbprosp1-22858,ROMAN,,,,,,,,,,,
gsbprosp1-22859,ROMAN,,,,,,,,,,,
gsbprosp1-22862,POST MEDIEVAL,,,,,,,,,,,
gsbprosp1-22863,POST MEDIEVAL,,,,,,,,,,,
gsbprosp1-22864,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
gsbprosp1-22866,LATER PREHISTORIC,ROMAN,,,,,,,,,,
gsbprosp1-22868,no period,,,,,,,,,,,
gsbprosp1-22917,ROMAN,UNCERTAIN,,,,,,,,,,
gsbprosp1-22920,EARLY MEDIEVAL,UNCERTAIN,,,,,,,,,,
gsbprosp1-22935,MEDIEVAL,,,,,,,,,,,
gsbprosp1-22944,no period,,,,,,,,,,,
gsbprosp1-22971,BRONZE AGE,LATE NEOLITHIC,,,,,,,,,,
gsbprosp1-22977,ROMAN,,,,,,,,,,,
gsbprosp1-22978,ROMAN,,,,,,,,,,,
gsbprosp1-22994,LATER PREHISTORIC,ROMAN,,,,,,,,,,
gsbprosp1-22997,EARLY MEDIEVAL,,,,,,,,,,,
gsbprosp1-23000,no period,,,,,,,,,,,
gsbprosp1-23005,MEDIEVAL,,,,,,,,,,,
gsbprosp1-23019,ROMAN,,,,,,,,,,,
gsbprosp1-23030,POST MEDIEVAL,,,,,,,,,,,
gsbprosp1-23039,20TH CENTURY,,,,,,,,,,,
gsbprosp1-23053,IRON AGE,ROMAN,,,,,,,,,,
gsbprosp1-23059,LATE IRON AGE,ROMAN,,,,,,,,,,
gsbprosp1-23071,MEDIEVAL,,,,,,,,,,,
gsbprosp1-23075,NEOLITHIC,ROMAN,,,,,,,,,,
gsbprosp1-23084,ROMAN,,,,,,,,,,,
gsbprosp1-23105,POST MEDIEVAL,,,,,,,,,,,
gsbprosp1-23109,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
gsbprosp1-23112,MEDIEVAL,,,,,,,,,,,
gsbprosp1-23115,ROMAN,,,,,,,,,,,
gsbprosp1-23116,NEOLITHIC,,,,,,,,,,,
gsbprosp1-23122,no period,,,,,,,,,,,
gsbprosp1-23358,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
gsbprosp1-23363,no period,,,,,,,,,,,
gsbprosp1-23365,EARLY MEDIEVAL,,,,,,,,,,,
gsbprosp1-23371,EARLY MEDIEVAL,MEDIEVAL,,,,,,,,,,
gsbprosp1-23439,ROMAN,,,,,,,,,,,
gsbprosp1-23462,no period,,,,,,,,,,,
gsbprosp1-23470,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
gsbprosp1-23928,no period,,,,,,,,,,,
gsbprosp1-23929,POST MEDIEVAL,,,,,,,,,,,
gsbprosp1-23930,no period,,,,,,,,,,,
gsbprosp1-23939,POST MEDIEVAL,,,,,,,,,,,
gsbprosp1-23944,MEDIEVAL,,,,,,,,,,,
gsbprosp1-23947,MEDIEVAL,,,,,,,,,,,
gsbprosp1-23948,EARLY MEDIEVAL,,,,,,,,,,,
gsbprosp1-23953,ROMAN,,,,,,,,,,,
gsbprosp1-23958,LATER PREHISTORIC,ROMAN,,,,,,,,,,
gsbprosp1-23966,POST MEDIEVAL,,,,,,,,,,,
gsbprosp1-23973,POST MEDIEVAL,,,,,,,,,,,
gsbprosp1-259301,no period,,,,,,,,,,,
gsbprosp1-37273,BRONZE AGE,UNCERTAIN,,,,,,,,,,
gsbprosp1-43961,Roman,,,,,,,,,,,
gsbprosp1-43972,Roman,,,,,,,,,,,
gsbprosp1-43978,Roman,,,,,,,,,,,
gsbprosp1-43987,Roman,,,,,,,,,,,
gsbprosp1-54203,MEDIEVAL,,,,,,,,,,,
gsbprosp1-64296,LATE IRON AGE,MEDIEVAL,UNCERTAIN,,,,,,,,,
gsbprosp1-64297,MEDIEVAL,,,,,,,,,,,
gsbprosp1-64298,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
gsbprosp1-69968,MEDIEVAL,,,,,,,,,,,
gsbprosp1-69970,20TH CENTURY,MEDIEVAL,,,,,,,,,,
gsbprosp1-72303,ROMAN,,,,,,,,,,,
gsbprosp1-72325,MEDIEVAL,UNCERTAIN,,,,,,,,,,
gsbprosp1-72326,no period,,,,,,,,,,,
gsbprosp1-72332,MEDIEVAL,,,,,,,,,,,
gsbprosp1-72338,ROMAN,UNCERTAIN,,,,,,,,,,
gsbprosp1-72348,MEDIEVAL,,,,,,,,,,,
gsbprosp1-73686,EARLY MEDIEVAL,MEDIEVAL,,,,,,,,,,
gsbprosp1-73750,ROMAN,,,,,,,,,,,
gsbprosp1-73752,ROMAN,,,,,,,,,,,
gsbprosp1-73753,Medieval,,,,,,,,,,,
gsbprosp1-73964,LATER PREHISTORIC,ROMAN,,,,,,,,,,
gsbprosp1-75274,IRON AGE,,,,,,,,,,,
gsbprosp1-75872,LATER PREHISTORIC,,,,,,,,,,,
gsbprosp1-75900,MEDIEVAL,,,,,,,,,,,
gsbprosp1-75913,LATER PREHISTORIC,,,,,,,,,,,
gsbprosp1-75931,POST MEDIEVAL,,,,,,,,,,,
guard4-104333,no period,,,,,,,,,,,
guard4-44429,20th Century,,,,,,,,,,,
guard4-44556,Post Medieval,,,,,,,,,,,
guard4-44591,Post Medieval,,,,,,,,,,,
guard4-62480,no period,,,,,,,,,,,
guard4-62490,no period,,,,,,,,,,,
guard4-62537,Post Medieval,,,,,,,,,,,
guard4-62562,no period,,,,,,,,,,,
guard4-62564,Post Medieval,,,,,,,,,,,
guard4-62567,no period,,,,,,,,,,,
guard4-62569,Post Medieval,,,,,,,,,,,
guard4-64292,Bronze Age,,,,,,,,,,,
guard4-65910,no period,,,,,,,,,,,
guard4-69242,Late Prehistoric,,,,,,,,,,,
guard4-78518,Roman,,,,,,,,,,,
guard4-78523,Early Medieval,,,,,,,,,,,
guard4-78539,no period,,,,,,,,,,,
guard4-78540,Period Unknown,,,,,,,,,,,
guard4-78548,no period,,,,,,,,,,,
guard4-78602,no period,,,,,,,,,,,
guard4-80893,no period,,,,,,,,,,,
guardarc1-100406,Iron Age,Post Medieval,,,,,,,,,,
guardarc1-100626,no period,,,,,,,,,,,
guardarc1-100636,20th Century,Period Unknown,,,,,,,,,,
guardarc1-100643,Post Medieval,,,,,,,,,,,
guardarc1-101977,no period,,,,,,,,,,,
guardarc1-102149,no period,,,,,,,,,,,
guardarc1-102210,no period,,,,,,,,,,,
guardarc1-104203,Late Prehistoric,,,,,,,,,,,
guardarc1-104309,no period,,,,,,,,,,,
guardarc1-105163,20th Century,,,,,,,,,,,
guardarc1-105277,no period,,,,,,,,,,,
guardarc1-105395,Medieval,,,,,,,,,,,
guardarc1-105530,Post Medieval,,,,,,,,,,,
guardarc1-109116,no period,,,,,,,,,,,
guardarc1-113165,Period Unknown,Post Medieval,,,,,,,,,,
guardarc1-115028,Roman,,,,,,,,,,,
guardarc1-115070,Medieval,Period Unknown,,,,,,,,,,
guardarc1-115142,Medieval,,,,,,,,,,,
guardarc1-116598,no period,,,,,,,,,,,
guardarc1-118263,20th Century,Bronze Age,Period Unknown,Post Medieval,,,,,,,,
guardarc1-118496,no period,,,,,,,,,,,
guardarc1-118502,no period,,,,,,,,,,,
guardarc1-119325,Roman,,,,,,,,,,,
guardarc1-119340,Period Unknown,Roman,,,,,,,,,,
guardarc1-119540,no period,,,,,,,,,,,
guardarc1-120581,Period Unknown,,,,,,,,,,,
guardarc1-120638,Post Medieval,,,,,,,,,,,
guardarc1-120758,Late Prehistoric,,,,,,,,,,,
guardarc1-120762,Late Prehistoric,,,,,,,,,,,
guardarc1-120783,Late Prehistoric,Medieval,,,,,,,,,,
guardarc1-123628,Late Prehistoric,Roman,,,,,,,,,,
guardarc1-123636,no period,,,,,,,,,,,
guardarc1-124370,Medieval,Period Unknown,,,,,,,,,,
guardarc1-124373,no period,,,,,,,,,,,
guardarc1-124507,no period,,,,,,,,,,,
guardarc1-124986,Late Prehistoric,Period Unknown,,,,,,,,,,
guardarc1-128093,no period,,,,,,,,,,,
guardarc1-128139,Late Prehistoric,,,,,,,,,,,
guardarc1-128788,MEDIEVAL,,,,,,,,,,,
guardarc1-128923,Late Prehistoric,,,,,,,,,,,
guardarc1-128926,no period,,,,,,,,,,,
guardarc1-129256,no period,,,,,,,,,,,
guardarc1-129749,20th Century,,,,,,,,,,,
guardarc1-131777,Post Medieval,,,,,,,,,,,
guardarc1-131959,Late Prehistoric,Medieval,Period Unknown,,,,,,,,,
guardarc1-132001,Bronze Age,Medieval,,,,,,,,,,
guardarc1-134087,Post Medieval,,,,,,,,,,,
guardarc1-134833,Early Medieval,Roman,,,,,,,,,,
guardarc1-140866,no period,,,,,,,,,,,
guardarc1-144395,Medieval,Period Unknown,,,,,,,,,,
guardarc1-144574,Post Medieval,,,,,,,,,,,
guardarc1-145013,no period,,,,,,,,,,,
guardarc1-145609,no period,,,,,,,,,,,
guardarc1-147397,Post Medieval,,,,,,,,,,,
guardarc1-152312,no period,,,,,,,,,,,
guardarc1-152520,no period,,,,,,,,,,,
guardarc1-154970,Medieval,,,,,,,,,,,
guardarc1-156686,20th Century,,,,,,,,,,,
guardarc1-156703,Post Medieval,,,,,,,,,,,
guardarc1-158143,Roman,,,,,,,,,,,
guardarc1-158193,20th Century,Post Medieval,,,,,,,,,,
guardarc1-158742,no period,,,,,,,,,,,
guardarc1-158751,Post Medieval,,,,,,,,,,,
guardarc1-158753,no period,,,,,,,,,,,
guardarc1-158755,20th Century,,,,,,,,,,,
guardarc1-159044,20th Century,,,,,,,,,,,
guardarc1-159150,Late Prehistoric,Period Unknown,Roman,,,,,,,,,
guardarc1-159211,Post Medieval,,,,,,,,,,,
guardarc1-159261,Post Medieval,,,,,,,,,,,
guardarc1-160238,no period,,,,,,,,,,,
guardarc1-160353,Roman,,,,,,,,,,,
guardarc1-160509,20th Century,Post Medieval,,,,,,,,,,
guardarc1-164950,Post Medieval,,,,,,,,,,,
guardarc1-166861,Post Medieval,,,,,,,,,,,
guardarc1-168747,Post Medieval,,,,,,,,,,,
guardarc1-169332,no period,,,,,,,,,,,
guardarc1-169736,Period Unknown,Post Medieval,,,,,,,,,,
guardarc1-169755,no period,,,,,,,,,,,
